subject,modality,phase,MD_mean,ND_baseline,delta
T034,Breathing.Rate,P2,0.7660620059235022,4.855219745009883e-16,0.7660620059235017
T035,Breathing.Rate,P2,-0.16422067261256995,5.654186226207694e-16,-0.1642206726125705
T036,Breathing.Rate,P2,0.5678101255571386,-2.3715161912403857e-16,0.5678101255571388
T038,Breathing.Rate,P2,-0.14101863079710733,4.472840962518616e-16,-0.14101863079710777
T039,Breathing.Rate,P2,0.704129552821679,1.2010464307686855e-15,0.7041295528216778
T040,Breathing.Rate,P2,-0.10983655310019369,1.631556224477842e-17,-0.1098365531001937
T041,Breathing.Rate,P2,0.7197694894167179,2.0872736423797313e-16,0.7197694894167177
T042,Breathing.Rate,P2,-0.17797708892667297,-1.1238649807447336e-15,-0.17797708892667186
T043,Breathing.Rate,P2,0.5514969255284885,-9.892428985147313e-16,0.5514969255284895
T044,Breathing.Rate,P2,0.5690340024208691,-2.0407232619741782e-16,0.5690340024208693
T045,Breathing.Rate,P2,-0.01894680343077835,-1.5456920289292675e-16,-0.018946803430778193
T047,Breathing.Rate,P2,0.38914728904381507,2.835083234953018e-16,0.3891472890438148
T050,Breathing.Rate,P2,-0.12676845045618307,2.9459268575190596e-15,-0.126768450456186
T051,Breathing.Rate,P2,-0.5713088089943307,-4.010425257050872e-16,-0.5713088089943302
T054,Breathing.Rate,P2,0.8085330950234444,-9.672309492022307e-16,0.8085330950234454
T060,Breathing.Rate,P2,0.6678395102442665,-1.1483518961779398e-15,0.6678395102442676
T061,Breathing.Rate,P2,0.1595010590210916,1.024205745239784e-15,0.15950105902109057
T064,Breathing.Rate,P2,-0.07015672387340463,2.5331291827454553e-16,-0.07015672387340488
T066,Breathing.Rate,P2,-0.8952375386876911,-2.0506283860320352e-16,-0.8952375386876908
T068,Breathing.Rate,P2,0.31986425123629564,-1.8641155248220685e-15,0.3198642512362975
T073,Breathing.Rate,P2,0.6719452762200849,-8.319645956684717e-16,0.6719452762200857
T076,Breathing.Rate,P2,-0.9700782209955938,-1.450087215836939e-16,-0.9700782209955937
T077,Breathing.Rate,P2,0.38939820014833193,1.3448758405553947e-16,0.3893982001483318
T079,Breathing.Rate,P2,0.3771172612392357,-3.0996830754635243e-16,0.37711726123923606
T080,Breathing.Rate,P2,-0.2488494810768019,6.478477884871501e-16,-0.24884948107680255
T081,Breathing.Rate,P2,0.3343732885769914,6.594051903834263e-16,0.3343732885769907
T082,Breathing.Rate,P2,0.7258786539636408,-5.484891293586739e-16,0.7258786539636414
T083,Breathing.Rate,P2,-0.21361203283711627,1.475175229951765e-15,-0.21361203283711774
T084,Breathing.Rate,P2,-1.1306125175270771,3.0485331897298027e-16,-1.1306125175270774
T086,Breathing.Rate,P2,0.5975209008193989,-6.318398742328504e-16,0.5975209008193996
T001,Breathing.Rate,P3,-0.23126994463134312,-1.9732269604548005e-15,-0.23126994463134115
T002,Breathing.Rate,P3,0.37246254954325264,-2.5951812767056555e-16,0.3724625495432529
T003,Breathing.Rate,P3,-0.5833777412557105,-1.4512411313933081e-15,-0.5833777412557091
T004,Breathing.Rate,P3,0.12331686942806878,-1.107560619290324e-15,0.1233168694280699
T005,Breathing.Rate,P3,-0.6116110967733106,7.451384494862474e-16,-0.6116110967733114
T006,Breathing.Rate,P3,0.20722906949676567,1.5401391745863874e-15,0.20722906949676415
T007,Breathing.Rate,P3,-0.4585090855413186,-8.483752894958943e-16,-0.45850908554131775
T008,Breathing.Rate,P3,-0.5990641441545225,-3.166764281939165e-16,-0.5990641441545221
T009,Breathing.Rate,P3,-0.5298584880679638,-2.226243558517285e-16,-0.5298584880679635
T010,Breathing.Rate,P3,0.2791506850558621,-5.396527107038736e-16,0.27915068505586266
T011,Breathing.Rate,P3,-0.24072533611171873,7.459766254699214e-16,-0.24072533611171948
T012,Breathing.Rate,P3,0.18652580680274636,-4.011847316085886e-16,0.18652580680274675
T013,Breathing.Rate,P3,-0.13209194507163707,-5.075305255429287e-16,-0.13209194507163657
T014,Breathing.Rate,P3,-0.23845260996813966,1.7496264355241865e-16,-0.23845260996813983
T015,Breathing.Rate,P3,-0.4899991867352012,-2.2676895822130855e-16,-0.489999186735201
T016,Breathing.Rate,P3,0.1543736561460528,-3.7996937741181827e-16,0.1543736561460532
T017,Breathing.Rate,P3,-0.027360547746309492,-5.355369206267242e-16,-0.027360547746308958
T018,Breathing.Rate,P3,0.6297801563520444,-2.91360116515385e-16,0.6297801563520448
T019,Breathing.Rate,P3,0.14907464915965565,-3.242020087118328e-16,0.149074649159656
T020,Breathing.Rate,P3,0.31735491054886816,5.766184504859452e-16,0.3173549105488676
T021,Breathing.Rate,P3,0.18601991539874832,2.4244240327772447e-16,0.18601991539874807
T022,Breathing.Rate,P3,0.3392196465221575,6.261487709763335e-16,0.3392196465221569
T023,Breathing.Rate,P3,-0.3677831708152708,5.473231527175463e-16,-0.36778317081527134
T024,Breathing.Rate,P3,0.5324036713201594,-8.050945359073598e-16,0.5324036713201602
T025,Breathing.Rate,P3,-0.38067520359177226,-2.1751308237554087e-16,-0.38067520359177204
T027,Breathing.Rate,P3,0.6540239208865076,-6.640586315514955e-16,0.6540239208865083
T029,Breathing.Rate,P3,-0.18256074671111414,1.1569216864479242e-16,-0.18256074671111425
T031,Breathing.Rate,P3,-0.056525050830874106,-2.7560445508270553e-16,-0.05652505083087383
T033,Breathing.Rate,P3,-0.4446263559864342,6.832141690000964e-16,-0.44462635598643485
T034,Breathing.Rate,P3,-0.7542401196703142,4.855219745009883e-16,-0.7542401196703147
T035,Breathing.Rate,P3,-0.28418748629184454,5.654186226207694e-16,-0.2841874862918451
T036,Breathing.Rate,P3,0.2916161224932657,-2.3715161912403857e-16,0.2916161224932659
T038,Breathing.Rate,P3,0.43394485676654515,4.472840962518616e-16,0.4339448567665447
T039,Breathing.Rate,P3,-0.5148364528954136,1.2010464307686855e-15,-0.5148364528954148
T040,Breathing.Rate,P3,0.6279369004725158,1.631556224477842e-17,0.6279369004725158
T041,Breathing.Rate,P3,-0.03515627171189353,2.0872736423797313e-16,-0.03515627171189374
T042,Breathing.Rate,P3,0.2333042933874512,-1.1238649807447336e-15,0.23330429338745232
T043,Breathing.Rate,P3,0.8099746996605667,-9.892428985147313e-16,0.8099746996605677
T044,Breathing.Rate,P3,-0.19489525462692173,-2.0407232619741782e-16,-0.19489525462692153
T045,Breathing.Rate,P3,-0.22563153807632366,-1.5456920289292675e-16,-0.2256315380763235
T047,Breathing.Rate,P3,-0.08071248844342915,2.835083234953018e-16,-0.08071248844342943
T050,Breathing.Rate,P3,0.45617010622993304,2.9459268575190596e-15,0.4561701062299301
T051,Breathing.Rate,P3,0.12908469897475924,-4.010425257050872e-16,0.12908469897475963
T054,Breathing.Rate,P3,-0.32497718741900505,-9.672309492022307e-16,-0.3249771874190041
T060,Breathing.Rate,P3,-0.062296134386002386,-1.1483518961779398e-15,-0.06229613438600124
T061,Breathing.Rate,P3,-0.30007189971919696,1.024205745239784e-15,-0.30007189971919795
T064,Breathing.Rate,P3,0.5211931311683143,2.5331291827454553e-16,0.5211931311683141
T066,Breathing.Rate,P3,0.6504447651405929,-2.0506283860320352e-16,0.6504447651405931
T068,Breathing.Rate,P3,0.6013868101189337,-1.8641155248220685e-15,0.6013868101189356
T073,Breathing.Rate,P3,-0.8347592202587629,-8.319645956684717e-16,-0.8347592202587621
T076,Breathing.Rate,P3,0.2793186950037724,-1.450087215836939e-16,0.27931869500377254
T077,Breathing.Rate,P3,0.6355667446471714,1.3448758405553947e-16,0.6355667446471713
T079,Breathing.Rate,P3,-0.1404451230951205,-3.0996830754635243e-16,-0.1404451230951202
T080,Breathing.Rate,P3,-1.017161655122162,6.478477884871501e-16,-1.0171616551221627
T081,Breathing.Rate,P3,-1.088230089252804,6.594051903834263e-16,-1.0882300892528047
T082,Breathing.Rate,P3,0.07659367528901151,-5.484891293586739e-16,0.07659367528901206
T083,Breathing.Rate,P3,-0.22715081860503558,1.475175229951765e-15,-0.22715081860503705
T084,Breathing.Rate,P3,0.6885551900648638,3.0485331897298027e-16,0.6885551900648634
T086,Breathing.Rate,P3,-0.7902316263681018,-6.318398742328504e-16,-0.7902316263681012
T001,Breathing.Rate,P4,0.1108021288670803,-1.9732269604548005e-15,0.11080212886708227
T002,Breathing.Rate,P4,-0.45659591117140286,-2.5951812767056555e-16,-0.4565959111714026
T003,Breathing.Rate,P4,0.835690870813563,-1.4512411313933081e-15,0.8356908708135644
T004,Breathing.Rate,P4,-0.18412154569964392,-1.107560619290324e-15,-0.1841215456996428
T005,Breathing.Rate,P4,0.02017331259727494,7.451384494862474e-16,0.020173312597274194
T006,Breathing.Rate,P4,-0.4212342646305166,1.5401391745863874e-15,-0.42123426463051816
T007,Breathing.Rate,P4,0.5967995004041299,-8.483752894958943e-16,0.5967995004041308
T008,Breathing.Rate,P4,0.24761201638360952,-3.166764281939165e-16,0.24761201638360983
T009,Breathing.Rate,P4,0.2856462272010733,-2.226243558517285e-16,0.2856462272010735
T010,Breathing.Rate,P4,0.29202482383190875,-5.396527107038736e-16,0.2920248238319093
T011,Breathing.Rate,P4,0.8079847842997898,7.459766254699214e-16,0.807984784299789
T012,Breathing.Rate,P4,-0.4098374188254355,-4.011847316085886e-16,-0.4098374188254351
T013,Breathing.Rate,P4,0.30590163829354283,-5.075305255429287e-16,0.30590163829354333
T014,Breathing.Rate,P4,0.24896336981969774,1.7496264355241865e-16,0.24896336981969758
T015,Breathing.Rate,P4,0.6334187280815443,-2.2676895822130855e-16,0.6334187280815445
T016,Breathing.Rate,P4,0.2543470277291193,-3.7996937741181827e-16,0.2543470277291197
T017,Breathing.Rate,P4,-0.4984881806321804,-5.355369206267242e-16,-0.49848818063217987
T018,Breathing.Rate,P4,-0.9267035407472496,-2.91360116515385e-16,-0.9267035407472493
T019,Breathing.Rate,P4,-0.6261504746027087,-3.242020087118328e-16,-0.6261504746027083
T020,Breathing.Rate,P4,-0.4766318577122195,5.766184504859452e-16,-0.47663185771222005
T021,Breathing.Rate,P4,-0.3462020895479169,2.4244240327772447e-16,-0.34620208954791715
T022,Breathing.Rate,P4,-1.1479448331002275,6.261487709763335e-16,-1.1479448331002282
T023,Breathing.Rate,P4,-0.48745044069463306,5.473231527175463e-16,-0.4874504406946336
T024,Breathing.Rate,P4,-0.4799194753631265,-8.050945359073598e-16,-0.4799194753631257
T025,Breathing.Rate,P4,0.9878216387409989,-2.1751308237554087e-16,0.9878216387409992
T027,Breathing.Rate,P4,-0.9016406322499573,-6.640586315514955e-16,-0.9016406322499566
T029,Breathing.Rate,P4,-0.3360610980697988,1.1569216864479242e-16,-0.3360610980697989
T031,Breathing.Rate,P4,-0.36007760914903203,-2.7560445508270553e-16,-0.36007760914903175
T033,Breathing.Rate,P4,0.06331536104840872,6.832141690000964e-16,0.06331536104840804
T034,Breathing.Rate,P4,-0.23450933424356743,4.855219745009883e-16,-0.2345093342435679
T035,Breathing.Rate,P4,0.09708200116023541,5.654186226207694e-16,0.09708200116023484
T036,Breathing.Rate,P4,-0.33178090370048297,-2.3715161912403857e-16,-0.33178090370048274
T038,Breathing.Rate,P4,-1.1069311225254161,4.472840962518616e-16,-1.1069311225254166
T039,Breathing.Rate,P4,0.05862679713232249,1.2010464307686855e-15,0.05862679713232129
T040,Breathing.Rate,P4,-0.7119015880214656,1.631556224477842e-17,-0.7119015880214656
T041,Breathing.Rate,P4,-0.6259496151803002,2.0872736423797313e-16,-0.6259496151803005
T042,Breathing.Rate,P4,-0.21576271175049716,-1.1238649807447336e-15,-0.21576271175049605
T043,Breathing.Rate,P4,-0.689931341726045,-9.892428985147313e-16,-0.689931341726044
T044,Breathing.Rate,P4,0.15959941263908606,-2.0407232619741782e-16,0.15959941263908625
T045,Breathing.Rate,P4,0.229269952306232,-1.5456920289292675e-16,0.22926995230623218
T047,Breathing.Rate,P4,-0.17744579509306715,2.835083234953018e-16,-0.17744579509306743
T050,Breathing.Rate,P4,-1.044373814143376,2.9459268575190596e-15,-1.044373814143379
T051,Breathing.Rate,P4,-0.49775267740599843,-4.010425257050872e-16,-0.49775267740599805
T054,Breathing.Rate,P4,0.7987054085201393,-9.672309492022307e-16,0.7987054085201403
T060,Breathing.Rate,P4,-0.6359226288825448,-1.1483518961779398e-15,-0.6359226288825437
T061,Breathing.Rate,P4,0.8113676772909577,1.024205745239784e-15,0.8113676772909567
T064,Breathing.Rate,P4,-0.2254302394431388,2.5331291827454553e-16,-0.22543023944313906
T066,Breathing.Rate,P4,0.7417727861033215,-2.0506283860320352e-16,0.7417727861033218
T068,Breathing.Rate,P4,0.26422134844043516,-1.8641155248220685e-15,0.26422134844043704
T073,Breathing.Rate,P4,0.8227586440454357,-8.319645956684717e-16,0.8227586440454365
T076,Breathing.Rate,P4,0.3349467876221046,-1.450087215836939e-16,0.3349467876221048
T077,Breathing.Rate,P4,-0.834775721189145,1.3448758405553947e-16,-0.8347757211891451
T079,Breathing.Rate,P4,-0.41830412445455356,-3.0996830754635243e-16,-0.41830412445455323
T080,Breathing.Rate,P4,0.8867589485583082,6.478477884871501e-16,0.8867589485583075
T081,Breathing.Rate,P4,0.6140927246392139,6.594051903834263e-16,0.6140927246392133
T082,Breathing.Rate,P4,-0.008740732740425194,-5.484891293586739e-16,-0.008740732740424646
T083,Breathing.Rate,P4,0.2061668747830549,1.475175229951765e-15,0.20616687478305343
T084,Breathing.Rate,P4,0.25500273445482713,3.0485331897298027e-16,0.25500273445482685
T086,Breathing.Rate,P4,0.4622472595931316,-6.318398742328504e-16,0.46224725959313223
T001,Breathing.Rate,P5,0.2769618541216172,-1.9732269604548005e-15,0.2769618541216192
T002,Breathing.Rate,P5,0.3422331597644578,-2.5951812767056555e-16,0.34223315976445806
T003,Breathing.Rate,P5,-0.5937241734467066,-1.4512411313933081e-15,-0.5937241734467051
T004,Breathing.Rate,P5,-0.11553450737459438,-1.107560619290324e-15,-0.11553450737459327
T005,Breathing.Rate,P5,-0.49575917833189037,7.451384494862474e-16,-0.4957591783318911
T006,Breathing.Rate,P5,-0.02301293377686447,1.5401391745863874e-15,-0.023012933776866012
T007,Breathing.Rate,P5,-0.8846153094681813,-8.483752894958943e-16,-0.8846153094681805
T008,Breathing.Rate,P5,0.214489685877923,-3.166764281939165e-16,0.2144896858779233
T009,Breathing.Rate,P5,-0.616049842630815,-2.226243558517285e-16,-0.6160498426308147
T010,Breathing.Rate,P5,-1.4530984657525232,-5.396527107038736e-16,-1.4530984657525228
T011,Breathing.Rate,P5,-0.15622885972733594,7.459766254699214e-16,-0.1562288597273367
T012,Breathing.Rate,P5,-0.35417335598142186,-4.011847316085886e-16,-0.35417335598142147
T013,Breathing.Rate,P5,-0.924292799938643,-5.075305255429287e-16,-0.9242927999386424
T014,Breathing.Rate,P5,-1.050017562079294,1.7496264355241865e-16,-1.0500175620792942
T015,Breathing.Rate,P5,-0.40434855313257445,-2.2676895822130855e-16,-0.40434855313257423
T016,Breathing.Rate,P5,-0.11335307032000576,-3.7996937741181827e-16,-0.11335307032000538
T017,Breathing.Rate,P5,-0.16921478223505323,-5.355369206267242e-16,-0.1692147822350527
T018,Breathing.Rate,P5,0.3644769750233367,-2.91360116515385e-16,0.364476975023337
T019,Breathing.Rate,P5,0.601628891664736,-3.242020087118328e-16,0.6016288916647363
T020,Breathing.Rate,P5,-0.17449843709571902,5.766184504859452e-16,-0.1744984370957196
T021,Breathing.Rate,P5,0.927568692521636,2.4244240327772447e-16,0.9275686925216358
T022,Breathing.Rate,P5,0.13426632854545295,6.261487709763335e-16,0.1342663285454523
T023,Breathing.Rate,P5,-0.8679580604552753,5.473231527175463e-16,-0.8679580604552759
T024,Breathing.Rate,P5,-1.1630480688312619,-8.050945359073598e-16,-1.163048068831261
T025,Breathing.Rate,P5,0.34727468739413264,-2.1751308237554087e-16,0.34727468739413286
T029,Breathing.Rate,P5,0.13761741294003055,1.1569216864479242e-16,0.13761741294003044
T031,Breathing.Rate,P5,-0.6385252231361448,-2.7560445508270553e-16,-0.6385252231361446
T033,Breathing.Rate,P5,0.2499612014912047,6.832141690000964e-16,0.24996120149120402
T034,Breathing.Rate,P5,0.47839175938147016,4.855219745009883e-16,0.47839175938146966
T035,Breathing.Rate,P5,1.0666597538335996,5.654186226207694e-16,1.066659753833599
T036,Breathing.Rate,P5,0.01736875661455112,-2.3715161912403857e-16,0.017368756614551357
T038,Breathing.Rate,P5,0.14129065463097215,4.472840962518616e-16,0.1412906546309717
T039,Breathing.Rate,P5,-0.48690954106674433,1.2010464307686855e-15,-0.48690954106674555
T040,Breathing.Rate,P5,-0.5625513253558224,1.631556224477842e-17,-0.5625513253558224
T041,Breathing.Rate,P5,-0.08603696840590955,2.0872736423797313e-16,-0.08603696840590976
T042,Breathing.Rate,P5,0.46538819288832545,-1.1238649807447336e-15,0.46538819288832656
T043,Breathing.Rate,P5,-1.0248894315043844,-9.892428985147313e-16,-1.0248894315043835
T044,Breathing.Rate,P5,-0.4635745918006594,-2.0407232619741782e-16,-0.4635745918006592
T045,Breathing.Rate,P5,-0.4035375862160827,-1.5456920289292675e-16,-0.40353758621608254
T047,Breathing.Rate,P5,0.7529742437787096,2.835083234953018e-16,0.7529742437787093
T050,Breathing.Rate,P5,0.482334777901656,2.9459268575190596e-15,0.4823347779016531
T051,Breathing.Rate,P5,0.6218809647276096,-4.010425257050872e-16,0.62188096472761
T054,Breathing.Rate,P5,-0.43173587096578936,-9.672309492022307e-16,-0.4317358709657884
T060,Breathing.Rate,P5,-0.5459724896895979,-1.1483518961779398e-15,-0.5459724896895968
T061,Breathing.Rate,P5,-0.6830450240630042,1.024205745239784e-15,-0.6830450240630052
T064,Breathing.Rate,P5,-0.7952943762675213,2.5331291827454553e-16,-0.7952943762675215
T068,Breathing.Rate,P5,-1.4111953246263935,-1.8641155248220685e-15,-1.4111953246263917
T073,Breathing.Rate,P5,-0.7278926529634387,-8.319645956684717e-16,-0.727892652963438
T076,Breathing.Rate,P5,0.6046420130712696,-1.450087215836939e-16,0.6046420130712697
T077,Breathing.Rate,P5,0.44930656023594506,1.3448758405553947e-16,0.44930656023594495
T079,Breathing.Rate,P5,1.1364421914965515,-3.0996830754635243e-16,1.1364421914965517
T080,Breathing.Rate,P5,-0.044186845251624376,6.478477884871501e-16,-0.04418684525162502
T081,Breathing.Rate,P5,1.1128539589201407,6.594051903834263e-16,1.11285395892014
T082,Breathing.Rate,P5,0.578228828119784,-5.484891293586739e-16,0.5782288281197846
T083,Breathing.Rate,P5,-1.394123076040358,1.475175229951765e-15,-1.3941230760403596
T084,Breathing.Rate,P5,0.7775993816897606,3.0485331897298027e-16,0.7775993816897603
T086,Breathing.Rate,P5,-0.6408287002965362,-6.318398742328504e-16,-0.6408287002965355
T002,Heart.Rate,P1,-0.2552951540906339,-6.86828148231583e-16,-0.25529515409063325
T003,Heart.Rate,P1,1.0197110490229653,-1.3334455850139812e-15,1.0197110490229666
T004,Heart.Rate,P1,-0.1811279971868449,1.933971235222335e-15,-0.18112799718684686
T005,Heart.Rate,P1,0.6618348494336089,-1.578983857244667e-15,0.6618348494336105
T006,Heart.Rate,P1,-0.33867522860675814,6.047172219234895e-16,-0.33867522860675875
T007,Heart.Rate,P1,-0.030966773726015487,2.547400333070782e-16,-0.03096677372601574
T008,Heart.Rate,P1,0.3544840388073844,1.543797587445343e-15,0.35448403880738283
T009,Heart.Rate,P1,-0.6718347772604212,5.539428564971834e-16,-0.6718347772604217
T010,Heart.Rate,P1,-0.06065386162954383,-1.9067729111536865e-15,-0.06065386162954192
T011,Heart.Rate,P1,0.6899231313428669,1.8089933167645596e-15,0.6899231313428651
T012,Heart.Rate,P1,-0.33238613717287885,1.3877787807814457e-17,-0.33238613717287885
